39,"ftp://carroll.aset.psu.edu/pub/kde/stable/latest/src/kdelibs-4.3.4.tar.bz2","kdelibs-4.3.4.tar.bz2","kdelibs-4.3.4","2009-12-12"
40,"http://www.cmake.org/files/v2.8/cmake-2.8.0.tar.gz","cmake-2.8.0.tar.gz","cmake","2009-11-20"
41,"http://get.qt.nokia.com/qt/source/qt-everywhere-opensource-src-4.6.0.tar.gz","qt-everywhere-opensource-src-4.6.0.tar.gz","qt-everywhere-opensource-src-4.6.0","2009-12-12"
42,"ftp://ftp.gnutls.org/pub/gnutls/gnutls-2.8.5.tar.bz2","gnutls-2.8.5.tar.bz2","gnutls-2.8.5","2009-12-29"
43,"http://anduin.linuxfromscratch.org/sources/BLFS/svn/l/libgcrypt-1.4.4.tar.bz2","libgcrypt-1.4.4.tar.bz2","libgcrypt-1.4.4","2009-12-29"
44,"ftp://ftp.gnupg.org/gcrypt/libgpg-error/libgpg-error-1.7.tar.bz2","libgpg-error-1.7.tar.bz2","libgpg-error-1.7","2009-12-29"
45,"http://www.ijg.org/files/jpegsrc.v7.tar.gz","jpegsrc.v7.tar.gz","jpeg-7","2009-12-30"
46,"http://downloads.sourceforge.net/giflib/giflib-4.1.6.tar.bz2","giflib-4.1.6.tar.bz2","giflib","2009-12-30"
47,"http://www.ece.uvic.ca/~mdadams/jasper/software/jasper-1.900.1.zip","jasper-1.900.1.zip","jasper-1.9000.1","2009-12-30"
48,"ftp://ftp.remotesensing.org/libtiff/tiff-3.9.2.tar.gz","tiff-3.9.2.tar.gz","libtiff-3.9.2","2009-12-29"
49,"http://dbus.freedesktop.org/releases/dbus/dbus-1.3.0.tar.gz","dbus-1.3.0.tar.gz","dbus","2009-09-24"
50,"http://mirrors.ibiblio.org/pub/mirrors/kde/stable/phonon/4.3.0/phonon-4.3.0.tar.bz2","phonon-4.3.0.tar.bz2","phonon","2009-12-30"
51,"http://downloads.sourceforge.net/pcre/pcre-7.9.tar.bz2","pcre-7.9.tar.bz2","pcre-7.9","2009-12-30"
52,"http://www.vandenoever.info/software/strigi/strigi-0.7.0.tar.bz2","strigi-0.7.0.tar.bz2","strigi","2009-08-12"
53,"http://freedesktop.org/~hadess/shared-mime-info-0.71.tar.bz2","shared-mime-info-0.71.tar.bz2","shared-mime-info","2010-04-01"
54,"ftp://carroll.aset.psu.edu/pub/kde/stable/latest/src/kdebase-4.3.4.tar.bz2","kdebase-4.3.4.tar.bz2","kdebase-4.3.4","2009-12-12"
55,"http://downloads.sourceforge.net/project/qimageblitz/qimageblitz/QImageBlitz%200.0.4/qimageblitz-0.0.4.tar.bz2","qimageblitz-0.0.4.tar.bz2","qimageblitz-0.0.4","2010-03-31"
56,"ftp://carroll.aset.psu.edu/pub/kde/stable/latest/src/kdebase-workspace-4.3.4.tar.bz2","kdebase-workspace-4.3.4.tar.bz2","kdebase-workspace-4.3.4","2009-12-12"
57,"http://www.mplayerhq.hu/MPlayer/releases/mplayer-export-snapshot.tar.bz2","mplayer-export-snapshot.tar.bz2","mplayer","2009-11-02"
58,"http://www.sudo.ws/sudo/dist/sudo-1.7.2p3.tar.gz","sudo-1.7.2p3.tar.gz","sudo-1.7.2p3","2010-03-27"
59,"http://roy.marples.name/downloads/dhcpcd/dhcpcd-5.1.3.tar.bz2","dhcpcd-5.1.3.tar.bz2","dhcpcd-5.1.3","2009-11-09"
60,"http://www.sqlite.org/sqlite-amalgamation-3.6.21.tar.gz","sqlite-amalgamation-3.6.21.tar.gz","sqlite","2009-12-17"
61,"ftp://mirrors.kernel.org/gnu/cpio/cpio-2.10.tar.bz2","cpio-2.10.tar.bz2","cpio","2009-10-12"
62,"http://cpan.perl.org/authors/id/M/MA/MAKAMAKA/Text-CSV-1.15.tar.gz","Text-CSV-1.15.tar.gz","Text::CSV","2009-10-20"
63,"ftp://ftp.gnu.org/gnu/screen/screen-4.0.3.tar.gz","screen-4.0.3.tar.gz","screen","2009-10-20"
64,"http://cpan.perl.org/CPAN/authors/id/T/TI/TIMB/DBI-1.609.tar.gz","DBI-1.609.tar.gz","DBI","2009-10-24"
65,"http://cpan.perl.org/CPAN/authors/id/A/AD/ADAMK/DBD-SQLite-1.29.tar.gz","DBD-SQLite-1.29.tar.gz","DBD-SQLite","2010-03-27"
66,"http://rsync.samba.org/ftp/rsync/src/rsync-3.0.7.tar.gz","rsync-3.0.7.tar.gz","rsync","2009-12-31"
67,"http://search.cpan.org/CPAN/authors/id/M/MS/MSERGEANT/XML-Parser-2.36.tar.gz","XML-Parser-2.36.tar.gz","XML-Parser","2009-10-27"
68,"ftp://mirrors.kernel.org/gnu/gperf/gperf-3.0.4.tar.gz","gperf-3.0.4.tar.gz","gperf","2009-10-28"
69,"ftp://ftp.ruby-lang.org/pub/ruby/1.9/ruby-1.9.1-p376.tar.gz","ruby-1.9.1-p376.tar.gz","ruby-1.9.1-p376","2009-12-22"
70,"ftp://ftp.mplayerhq.hu/MPlayer/releases/codecs/essential-20071007.tar.bz2","essential-20071007.tar.bz2","FIXME","2009-11-01"
71,"http://download.videolan.org/pub/videolan/vlc/1.0.3/vlc-1.0.3.tar.bz2","vlc-1.0.3.tar.bz2","FIXME","2009-11-01"
72,"ftp://mirrors.kernel.org/gnu/gdb/gdb-7.0.tar.bz2","gdb-7.0.tar.bz2","FIXME","2009-11-05"
73,"http://dbus.freedesktop.org/releases/dbus-glib/dbus-glib-0.82.tar.gz","dbus-glib-0.82.tar.gz","dbus-glib-0.82","2009-11-07"
